"Reference","Value","Footprint","Alt. Manufacturer","Alt. Mfg P/N","Description","Digi-Key_PN","Insert","Insert?","LCSC","MPN","MPN(Secondary)","Manufacturer","Manufacturer(Secondary)","Manufacturer_Name","Manufacturer_Part_Number","Mfg P/N","Mouser Part Number","Mouser Price/Stock","Populate","Status","Supplier (2nd)","Supplier (Primary)","Supplier SKU (2nd)","Supplier SKU (Primary)","User Optional","Value_Modifer","Value_Modifier","Qty"
"Q10","MMBT4401LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS NPN 40V 0.6A SOT23","MMBT4401LT1GOSCT-ND","","Yes","C31776","MMBT4401LT1G","MMBT4401-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q11","MMBT4403LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS PNP 40V 0.6A SOT23","MMBT4403LT1GOSCT-ND","","Yes","C78864","MMBT4403LT1G","MMBT4403-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q12","MMBT4401LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS NPN 40V 0.6A SOT23","MMBT4401LT1GOSCT-ND","","Yes","C31776","MMBT4401LT1G","MMBT4401-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q13","MMBT4403LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS PNP 40V 0.6A SOT23","MMBT4403LT1GOSCT-ND","","Yes","C78864","MMBT4403LT1G","MMBT4403-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q14","MMBT4401LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS NPN 40V 0.6A SOT23","MMBT4401LT1GOSCT-ND","","Yes","C31776","MMBT4401LT1G","MMBT4401-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q17","MMBT4403LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS PNP 40V 0.6A SOT23","MMBT4403LT1GOSCT-ND","","Yes","C78864","MMBT4403LT1G","MMBT4403-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q18","MMBT4401LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS NPN 40V 0.6A SOT23","MMBT4401LT1GOSCT-ND","","Yes","C31776","MMBT4401LT1G","MMBT4401-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q19","MMBT4403LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS PNP 40V 0.6A SOT23","MMBT4403LT1GOSCT-ND","","Yes","C78864","MMBT4403LT1G","MMBT4403-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q20","MMBT4401LT1G","Package_TO_SOT_SMD:SOT-23-3","","","TRANS NPN 40V 0.6A SOT23","MMBT4401LT1GOSCT-ND","","Yes","C31776","MMBT4401LT1G","MMBT4401-7-F","ON Semiconductor","Diodes Inc.","Onsemi","","","","","yes","Active","","","","","","","","1"
"Q21","NVTR4503NT1G_NMOS_GSD","Package_TO_SOT_SMD:SOT-23-3","","","MOSFET N-CHNL GSD LOW RDS(ON)","","","Yes","C20917","NVTR4503NT1G","IRLML2030TRPBF","","Infineon Technologies","Onsemi","","","","","yes","","","","","","","","","1"
"Q22","SL3401A","Package_TO_SOT_SMD:SOT-23-3","","","P-Channel 30V 4.2A 2V @ 250uA 50mΩ @ 4.2A,10V 1.4W SOT-23 MOSFETs RoHS","","","","C350311","","","","","","","","","","yes","","","","","","","","","1"
"Q23","SL3401A","Package_TO_SOT_SMD:SOT-23-3","","","P-Channel 30V 4.2A 2V @ 250uA 50mΩ @ 4.2A,10V 1.4W SOT-23 MOSFETs RoHS","","","","C350311","","","","","","","","","","yes","","","","","","","","","1"
"R1","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R2","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R5","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R6","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R7","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R8","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R9","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R10","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R11","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R12","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R13","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R14","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R17","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R18","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R19","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
"R20","470","Resistor_SMD:R_0805_2012Metric","","","RES 470 OHM","","","Yes","C17710","","","","","","","","","","yes","","","","","","","","10%","1"
